Count_cells,ExecutionTime_01LoadImages,ExecutionTime_02TrackObjects,ExecutionTime_03SaveImages,Group_Index,Group_Number,ImageNumber,Metadata_Site,Metadata_Time,ModuleError_01LoadImages,ModuleError_02TrackObjects,ModuleError_03SaveImages,ObjectsFileName_IMAGE_FOR_cells,ObjectsPathName_IMAGE_FOR_cells,ObjectsURL_IMAGE_FOR_cells,TrackObjects_LostObjectCount_cells,TrackObjects_MergeCount_cells,TrackObjects_NewObjectCount_cells,TrackObjects_SplitCount_cells
135.0,0.379999999999,30.01,0.18,218,1,218,1,0218,0,0,0,Cells_s1_t0218.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0218.png,2,1,0,1
139.0,0.4,29.89,0.17,219,1,219,1,0219,0,0,0,Cells_s1_t0219.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0219.png,-2,2,0,3
138.0,0.379999999999,29.86,0.18,220,1,220,1,0220,0,0,0,Cells_s1_t0220.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0220.png,3,0,0,2
134.0,0.390000000001,29.94,0.18,221,1,221,1,0221,0,0,0,Cells_s1_t0221.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0221.png,2,3,0,1
134.0,0.379999999999,30.03,0.18,222,1,222,1,0222,0,0,0,Cells_s1_t0222.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0222.png,0,1,0,1
132.0,0.369999999999,29.96,0.17,223,1,223,1,0223,0,0,0,Cells_s1_t0223.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0223.png,-1,3,0,1
133.0,0.379999999999,29.82,0.17,224,1,224,1,0224,0,0,0,Cells_s1_t0224.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0224.png,0,0,0,0
136.0,0.379999999999,29.93,0.170000000002,225,1,225,1,0225,0,0,0,Cells_s1_t0225.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0225.png,0,0,2,1
144.0,0.379999999999,30.08,0.18,226,1,226,1,0226,0,0,0,Cells_s1_t0226.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0226.png,0,0,2,6
137.0,0.389999999999,29.93,0.17,227,1,227,1,0227,0,0,0,Cells_s1_t0227.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0227.png,4,4,0,1
135.0,0.379999999999,29.82,0.179999999998,228,1,228,1,0228,0,0,0,Cells_s1_t0228.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0228.png,1,1,0,0
140.0,0.400000000001,30.28,0.18,229,1,229,1,0229,0,0,0,Cells_s1_t0229.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0229.png,-1,1,1,4
130.0,0.380000000001,29.87,0.17,230,1,230,1,0230,0,0,0,Cells_s1_t0230.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0230.png,5,1,0,0
136.0,0.389999999999,29.58,0.18,231,1,231,1,0231,0,0,0,Cells_s1_t0231.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0231.png,-4,4,0,2
136.0,0.380000000001,29.59,0.17,232,1,232,1,0232,0,0,0,Cells_s1_t0232.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0232.png,0,3,1,2
138.0,0.389999999999,29.53,0.17,233,1,233,1,0233,0,0,0,Cells_s1_t0233.png,/Users/bbraun/Documents/Projects/Kras progenitors/colony video/LCA Time Lapse/2013-05-30/130530 CP21/Objects CP21,file:/Users/bbraun/Documents/Projects/Kras%20progenitors/colony%20video/LCA%20Time%20Lapse/2013-05-30/130530%20CP21/Objects%20CP21/Cells_s1_t0233.png,1,0,0,3
